location,date,total_deaths,total_cases,pct_deaths_if_infected
Africa,2020-02-13,0,0,NULL
Africa,2020-02-14,0,1,0
Africa,2020-02-15,0,1,0
Africa,2020-02-16,0,1,0
Africa,2020-02-17,0,1,0
Africa,2020-02-18,0,1,0
Africa,2020-02-19,0,1,0
Africa,2020-02-20,0,1,0
Africa,2020-02-21,0,1,0
Africa,2020-02-22,0,1,0
Africa,2020-02-23,0,1,0
Africa,2020-02-24,0,1,0
Africa,2020-02-25,0,2,0
Africa,2020-02-26,0,2,0
Africa,2020-02-27,0,2,0
Africa,2020-02-28,0,3,0
Africa,2020-02-29,0,3,0
Africa,2020-03-01,0,4,0
Africa,2020-03-02,0,8,0
Africa,2020-03-03,0,11,0
Africa,2020-03-04,0,21,0
Africa,2020-03-05,0,24,0
Africa,2020-03-06,0,43,0
Africa,2020-03-07,0,43,0
Africa,2020-03-08,1,83,1.2048192771084338
Africa,2020-03-09,1,91,1.098901098901099
Africa,2020-03-10,2,104,1.9230769230769231
Africa,2020-03-11,2,118,1.694915254237288
Africa,2020-03-12,3,134,2.2388059701492535
Africa,2020-03-13,6,176,3.4090909090909087
Africa,2020-03-14,7,254,2.7559055118110236
Africa,2020-03-15,8,313,2.5559105431309903
Africa,2020-03-16,8,400,2
Africa,2020-03-17,11,484,2.272727272727273
Africa,2020-03-18,17,600,2.833333333333333
Africa,2020-03-19,20,780,2.564102564102564
Africa,2020-03-20,26,968,2.6859504132231407
Africa,2020-03-21,36,1172,3.0716723549488054
Africa,2020-03-22,48,1437,3.3402922755741122
Africa,2020-03-23,57,1818,3.1353135313531353
Africa,2020-03-24,64,2250,2.8444444444444446
Africa,2020-03-25,73,2773,2.6325279480706816
Africa,2020-03-26,91,3326,2.736019242333133
Africa,2020-03-27,115,3885,2.9601029601029603
Africa,2020-03-28,134,4225,3.1715976331360944
Africa,2020-03-29,152,4785,3.1765935214211076
Africa,2020-03-30,173,5196,3.329484218629715
Africa,2020-03-31,200,5781,3.459609064175748
Africa,2020-04-01,234,6380,3.6677115987460818
Africa,2020-04-02,287,7031,4.081922912814678
Africa,2020-04-03,331,7913,4.182990016428661
Africa,2020-04-04,383,8592,4.457635009310986
Africa,2020-04-05,444,9298,4.775220477522048
Africa,2020-04-06,487,9999,4.87048704870487
Africa,2020-04-07,533,10632,5.013167795334838
Africa,2020-04-08,574,11436,5.019237495627842
Africa,2020-04-09,627,12248,5.119203135205748
Africa,2020-04-10,693,12911,5.367516071566881
Africa,2020-04-11,742,13627,5.4450722829676375
Africa,2020-04-12,788,14491,5.437857980815679
Africa,2020-04-13,834,15265,5.4634785456927615
Africa,2020-04-14,873,16235,5.377271327379119
Africa,2020-04-15,910,17192,5.293159609120521
Africa,2020-04-16,965,18360,5.25599128540305
Africa,2020-04-17,1016,19766,5.140139633714459
Africa,2020-04-18,1058,21072,5.020880789673501
Africa,2020-04-19,1121,22281,5.03119249584848
Africa,2020-04-20,1159,23439,4.944750202653697
Africa,2020-04-21,1189,24509,4.8512791219552005
Africa,2020-04-22,1240,25911,4.785612288217359
Africa,2020-04-23,1297,27349,4.7424037441954
Africa,2020-04-24,1324,29068,4.554836934085593
Africa,2020-04-25,1375,30299,4.538103567774514
Africa,2020-04-26,1423,31833,4.470203876480381
Africa,2020-04-27,1462,33167,4.407995899538698
Africa,2020-04-28,1523,34794,4.377191469793643
Africa,2020-04-29,1588,36807,4.314396718015595
Africa,2020-04-30,1634,38753,4.216447758883183
Africa,2020-05-01,1692,40479,4.1799451567479435
Africa,2020-05-02,1759,42707,4.118762732104807
Africa,2020-05-03,1796,44301,4.054084557910657
Africa,2020-05-04,1842,46959,3.9225707532102474
Africa,2020-05-05,1908,48997,3.8941159662836498
Africa,2020-05-06,2006,51543,3.891896086762509
Africa,2020-05-07,2073,54033,3.8365443340181002
