date,total_deaths,total_cases,pct_deaths_if_infected
2020-01-01,0,0,NULL
2020-01-02,0,0,NULL
2020-01-03,0,0,NULL
2020-01-04,0,0,NULL
2020-01-05,0,0,NULL
2020-01-06,0,0,NULL
2020-01-07,0,0,NULL
2020-01-08,0,0,NULL
2020-01-09,0,0,NULL
2020-01-10,0,0,NULL
2020-01-11,0,0,NULL
2020-01-12,0,0,NULL
2020-01-13,0,0,NULL
2020-01-14,0,0,NULL
2020-01-15,0,0,NULL
2020-01-16,0,0,NULL
2020-01-17,0,0,NULL
2020-01-18,0,0,NULL
2020-01-19,0,0,NULL
2020-01-20,0,0,NULL
2020-01-21,0,0,NULL
2020-01-22,0,0,NULL
2020-01-23,1,98,1.0204081632653061
2020-01-24,8,286,2.797202797202797
2020-01-25,16,492,3.2520325203252036
2020-01-26,14,685,2.0437956204379564
2020-01-27,26,809,3.2138442521631645
2020-01-28,49,2651,1.8483591097698981
2020-01-29,2,589,0.3395585738539898
2020-01-30,38,2068,1.83752417794971
2020-01-31,42,1692,2.4822695035460995
2020-02-01,46,2111,2.179062055897679
2020-02-02,103,4749,2.1688776584544116
2020-02-03,64,3100,2.064516129032258
2020-02-04,66,4011,1.6454749439042633
2020-02-05,72,3745,1.9225634178905209
2020-02-06,70,3160,2.2151898734177213
2020-02-07,85,3532,2.406568516421291
2020-02-08,87,2734,3.1821506949524507
2020-02-09,100,3027,3.303600925008259
2020-02-10,107,2538,4.21591804570528
2020-02-11,100,2042,4.897159647404505
2020-02-12,5,378,1.3227513227513228
2020-02-13,253,15153,1.669636375635188
2020-02-14,152,6484,2.344231955582974
2020-02-15,143,2076,6.8882466281310215
2020-02-16,104,2113,4.921911973497397
2020-02-17,98,1936,5.06198347107438
2020-02-18,140,1794,7.803790412486064
2020-02-19,115,421,27.315914489311165
2020-02-20,123,547,22.486288848263253
2020-02-21,4,629,0.6359300476947536
2020-02-22,207,1761,11.754684838160136
2020-02-23,10,323,3.0959752321981426
2020-02-24,160,564,28.368794326241137
2020-02-25,80,853,9.378663540445487
2020-02-26,60,963,6.230529595015576
2020-02-27,43,1360,3.161764705882353
2020-02-28,57,1386,4.112554112554113
2020-02-29,69,1891,3.6488630354309888
2020-03-01,54,2381,2.267954640907182
2020-03-02,89,1983,4.48814926878467
2020-03-03,75,2593,2.892402622445044
2020-03-04,95,2308,4.116117850953207
2020-03-05,94,2811,3.344005691924582
2020-03-06,111,3913,2.8366981855353948
2020-03-07,104,4095,2.5396825396825395
2020-03-08,239,3949,6.052165105089896
2020-03-09,190,4172,4.554170661553212
2020-03-10,274,4822,5.682289506428868
2020-03-11,343,7661,4.477222294739589
2020-03-12,306,5790,5.284974093264249
2020-03-13,497,14384,3.4552280311457175
2020-03-14,420,11074,3.792667509481669
2020-03-15,636,11269,5.64380157955453
2020-03-16,683,14808,4.61237169097785
2020-03-17,813,15943,5.099416671893621
2020-03-18,906,19559,4.632138657395572
2020-03-19,1111,27049,4.107360715738105
2020-03-20,1486,30775,4.8285946385052805
2020-03-21,1721,31991,5.3796380231940235
2020-03-22,1686,34855,4.837182613685267
2020-03-23,1949,42835,4.550017509046341
2020-03-24,2288,41179,5.556230117292795
2020-03-25,2810,51001,5.509695888315915
2020-03-26,3035,62877,4.82688423429871
2020-03-27,3488,65041,5.362771175104934
2020-03-28,3730,67278,5.5441600523202235
2020-03-29,3519,59237,5.9405439168087515
2020-03-30,4081,65294,6.250191441786382
2020-03-31,4748,76845,6.178671351421693
2020-04-01,5995,82801,7.240250721609643
2020-04-02,5887,83060,7.087647483746689
2020-04-03,6161,83559,7.373233284266208
2020-04-04,5914,58363,10.133132292719703
2020-04-05,5188,72592,7.146793035045185
2020-04-06,5938,73155,8.117011824208872
