location,date,total_cases,population,pct_of_population_infected
Africa,2020-02-13,0,1340598113,0
Africa,2020-02-14,1,1340598113,0.00000007459357060873321
Africa,2020-02-15,1,1340598113,0.00000007459357060873321
Africa,2020-02-16,1,1340598113,0.00000007459357060873321
Africa,2020-02-17,1,1340598113,0.00000007459357060873321
Africa,2020-02-18,1,1340598113,0.00000007459357060873321
Africa,2020-02-19,1,1340598113,0.00000007459357060873321
Africa,2020-02-20,1,1340598113,0.00000007459357060873321
Africa,2020-02-21,1,1340598113,0.00000007459357060873321
Africa,2020-02-22,1,1340598113,0.00000007459357060873321
Africa,2020-02-23,1,1340598113,0.00000007459357060873321
Africa,2020-02-24,1,1340598113,0.00000007459357060873321
Africa,2020-02-25,2,1340598113,0.00000014918714121746642
Africa,2020-02-26,2,1340598113,0.00000014918714121746642
Africa,2020-02-27,2,1340598113,0.00000014918714121746642
Africa,2020-02-28,3,1340598113,0.0000002237807118261996
Africa,2020-02-29,3,1340598113,0.0000002237807118261996
Africa,2020-03-01,4,1340598113,0.00000029837428243493285
Africa,2020-03-02,8,1340598113,0.0000005967485648698657
Africa,2020-03-03,11,1340598113,0.0000008205292766960653
Africa,2020-03-04,21,1340598113,0.0000015664649827833975
Africa,2020-03-05,24,1340598113,0.0000017902456946095969
Africa,2020-03-06,43,1340598113,0.0000032075235361755277
Africa,2020-03-07,43,1340598113,0.0000032075235361755277
Africa,2020-03-08,83,1340598113,0.000006191266360524856
Africa,2020-03-09,91,1340598113,0.000006788014925394722
Africa,2020-03-10,104,1340598113,0.000007757731343308254
Africa,2020-03-11,118,1340598113,0.000008802041331830517
Africa,2020-03-12,134,1340598113,0.000009995538461570249
Africa,2020-03-13,176,1340598113,0.000013128468427137045
Africa,2020-03-14,254,1340598113,0.000018946766934618234
Africa,2020-03-15,313,1340598113,0.000023347787600533496
Africa,2020-03-16,400,1340598113,0.000029837428243493285
Africa,2020-03-17,484,1340598113,0.00003610328817462687
Africa,2020-03-18,600,1340598113,0.00004475614236523993
Africa,2020-03-19,780,1340598113,0.0000581829850748119
Africa,2020-03-20,968,1340598113,0.00007220657634925374
Africa,2020-03-21,1172,1340598113,0.00008742366475343531
Africa,2020-03-22,1437,1340598113,0.00010719096096474962
Africa,2020-03-23,1818,1340598113,0.00013561111136667697
Africa,2020-03-24,2250,1340598113,0.00016783553386964974
Africa,2020-03-25,2773,1340598113,0.0002068479712980172
Africa,2020-03-26,3326,1340598113,0.0002480982158446466
Africa,2020-03-27,3885,1340598113,0.00028979602181492854
Africa,2020-03-28,4225,1340598113,0.0003151578358218978
Africa,2020-03-29,4785,1340598113,0.00035693023536278844
Africa,2020-03-30,5196,1340598113,0.00038758819288297773
Africa,2020-03-31,5781,1340598113,0.0004312254316890867
Africa,2020-04-01,6380,1340598113,0.0004759069804837179
Africa,2020-04-02,7031,1340598113,0.0005244673949500032
Africa,2020-04-03,7913,1340598113,0.0005902589242269059
Africa,2020-04-04,8592,1340598113,0.0006409079586702358
Africa,2020-04-05,9298,1340598113,0.0006935710195200013
Africa,2020-04-06,9999,1340598113,0.0007458611125167234
Africa,2020-04-07,10632,1340598113,0.0007930788427120515
Africa,2020-04-08,11436,1340598113,0.0008530520734814729
Africa,2020-04-09,12248,1340598113,0.0009136220528157644
Africa,2020-04-10,12911,1340598113,0.0009630775901293545
Africa,2020-04-11,13627,1340598113,0.0010164865866852074
Africa,2020-04-12,14491,1340598113,0.0010809354316911528
Africa,2020-04-13,15265,1340598113,0.0011386708553423124
Africa,2020-04-14,16235,1340598113,0.0012110266188327837
Africa,2020-04-15,17192,1340598113,0.0012824126659053412
Africa,2020-04-16,18360,1340598113,0.0013695379563763417
Africa,2020-04-17,19766,1340598113,0.0014744165166522207
Africa,2020-04-18,21072,1340598113,0.0015718357198672263
Africa,2020-04-19,22281,1340598113,0.0016620193467331845
Africa,2020-04-20,23439,1340598113,0.0017483987014980976
Africa,2020-04-21,24509,1340598113,0.0018282138220494422
Africa,2020-04-22,25911,1340598113,0.0019327940080428863
Africa,2020-04-23,27349,1340598113,0.0020400595625782443
Africa,2020-04-24,29068,1340598113,0.002168285910454657
Africa,2020-04-25,30299,1340598113,0.0022601105958740078
Africa,2020-04-26,31833,1340598113,0.002374537133187804
Africa,2020-04-27,33167,1340598113,0.002474044956379854
Africa,2020-04-28,34794,1340598113,0.002595408695760263
Africa,2020-04-29,36807,1340598113,0.0027455655533956433
Africa,2020-04-30,38753,1340598113,0.002890724641800238
Africa,2020-05-01,40479,1340598113,0.0030194731446709115
Africa,2020-05-02,42707,1340598113,0.0031856676199871693
Africa,2020-05-03,44301,1340598113,0.0033045697715374895
Africa,2020-05-04,46959,1340598113,0.003502839482215503
Africa,2020-05-05,48997,1340598113,0.003654861179116101
Africa,2020-05-06,51543,1340598113,0.003844776409885936
Africa,2020-05-07,54033,1340598113,0.004030514400701682
Africa,2020-05-08,57657,1340598113,0.004300841500587731
