continent,location,population,last_recorded_total_cases,lr_pct_of_population_infected
Europe,Andorra,77265,13232,17.125477253607713
Europe,Montenegro,628062,97389,15.506271673815641
Europe,Czechia,10708982,1630758,15.22794603632726
Europe,"San Marino",33938,5066,14.92722022511639
Europe,Slovenia,2078932,240292,11.558434811720634
Europe,Luxembourg,625976,67205,10.736034608355592
Asia,Bahrain,1701583,176934,10.398199793956568
Europe,Serbia,6804596,689557,10.133694932072382
"North America","United States",331002647,32346970,9.772420339587194
Asia,Israel,8655541,838481,9.687216547180586
Europe,Sweden,10099270,973604,9.640340341430619
Europe,Estonia,1326539,122019,9.198297223074482
Europe,Lithuania,2722291,247269,9.083121532562096
Europe,Netherlands,17134873,1522973,8.888148747878084
Europe,Belgium,11589616,990229,8.544105343956176
"North America",Panama,4314768,364576,8.449492533549892
Europe,France,68147687,5677835,8.33166208561121
Europe,Portugal,10196707,836493,8.203560227826493
Europe,Croatia,4105268,332183,8.091627635516122
Europe,Hungary,9660350,779348,8.067492378640525
Asia,Georgia,3989175,310310,7.778801381237975
Asia,Lebanon,6825442,526578,7.714928937935447
Europe,Liechtenstein,38137,2926,7.672339198154024
Europe,Switzerland,8654618,659974,7.625686078807868
Europe,Spain,46754783,3524077,7.537361471659487
Europe,Cyprus,875899,65233,7.447548176216665
Europe,Poland,37846605,2792142,7.377523030137049
Europe,"North Macedonia",2083380,152367,7.313452178671199
Asia,Armenia,2963234,216064,7.291493010676849
Asia,Qatar,2881060,205652,7.138067239141149
Europe,Slovakia,5459643,382211,7.000659200610736
Asia,Jordan,10203140,711373,6.9720987852759055
"South America",Brazil,212559409,14659011,6.896430070522072
Europe,Austria,9006400,618870,6.871446971042813
Europe,Malta,441539,30292,6.860549124765876
Europe,Italy,60461828,4022653,6.653211014394074
"South America",Argentina,45195777,2977363,6.587701766915082
Europe,"United Kingdom",67886004,4432246,6.528954038891434
Asia,Kuwait,4270563,273991,6.415805129206617
Europe,Latvia,1886202,118558,6.285540997199663
"South America",Chile,19116209,1198245,6.2682145816673165
Europe,Monaco,39244,2454,6.253185200285394
Europe,Moldova,4033963,250837,6.218128426066377
Europe,"Bosnia and Herzegovina",3280815,198461,6.049137180852928
Africa,Seychelles,98340,5873,5.972137482204596
Europe,Bulgaria,6948445,404380,5.819719376061839
Asia,Palestine,5101416,296462,5.811366883233989
"South America",Uruguay,3473727,198428,5.71225084757668
"South America",Colombia,50882884,2859724,5.620208162729141
Asia,Maldives,540542,29835,5.519460097457737
Europe,Romania,19237682,1055265,5.485406193947899
"South America",Peru,32971846,1799445,5.457519727588197
Europe,Kosovo,1932774,103638,5.362137528754009
Asia,"United Arab Emirates",9890400,520236,5.260009706381946
Europe,Ireland,4937796,248870,5.040102912311484
"North America","Costa Rica",5094114,250991,4.927078585206377
Europe,Ukraine,43733759,2124070,4.856820105493333
Asia,Turkey,84339067,3997366,4.739637444649465
Europe,Albania,2877800,131085,4.555042046007367
Europe,Denmark,5792203,251249,4.33771053949594
Africa,"Cape Verde",555988,23882,4.295416447837003
Europe,Germany,83783945,3405365,4.064460082417938
"South America",Paraguay,7132530,279077,3.912735032309713
Europe,Belarus,9449321,358738,3.7964420935641834
Asia,Oman,5106622,193253,3.7843607770459613
Europe,Vatican,809,27,3.3374536464771323
Europe,Greece,10423056,345033,3.3102863497999047
Europe,Russia,145934460,4750755,3.2554031446719303
"North America",Canada,37742157,1228367,3.254628504671845
"North America",Belize,397621,12668,3.1859484282771784
Asia,Azerbaijan,10139175,319109,3.1472876244862134
Asia,Iran,83992953,2499077,2.9753412765473315
Africa,"South Africa",59308690,1581210,2.6660679910481924
"North America",Bahamas,393248,10453,2.6581190495565137
Asia,Iraq,40222503,1065199,2.648266319975164
Africa,Tunisia,11818618,309119,2.6155257746717933
"South America",Bolivia,11673029,303732,2.601998161745336
Africa,Libya,6871287,177508,2.583329731388021
"North America","Saint Lucia",183629,4552,2.4789112830762026
"North America","Dominican Republic",10847904,266561,2.457258102579079
"South America",Ecuador,17643060,381862,2.1643751140675143
"North America",Honduras,9904608,212333,2.1437799456576174
Europe,Norway,5421242,112970,2.0838398285854054
Asia,Kazakhstan,18776707,375539,2.0000258831327558
Africa,Botswana,2351625,46934,1.9958114070057937
Africa,Namibia,2540916,48351,1.9028964357735556
Europe,Iceland,341250,6472,1.8965567765567766
"North America",Mexico,128932753,2344755,1.8185875547076853
"South America",Suriname,586634,10363,1.7665188175250666
"South America",Guyana,786559,13283,1.688748078656528
"North America","Saint Vincent and the Grenadines",110947,1864,1.6800814803464719
